commit_url,patch_hash,vul_hash,related_files,CWE
https://github.com/lvgl/lvgl/commit/8b78688c795213781c0a9725b18ff52258cbbbca,8b78688c795213781c0a9725b18ff52258cbbbca,1b25649483e1544dc172d79ff702ffe11f2e505c,src/lv_misc/lv_txt.c,CWE125
https://github.com/lvgl/lvgl/commit/3539083d5523576730c43b5a3c71958b3112b16a,3539083d5523576730c43b5a3c71958b3112b16a,93885918d41b3f21aca938485a52c395d8d27674,"demos/stress/lv_demo_stress.c,src/widgets/image/lv_image.c",CWE690
https://github.com/lvgl/lvgl/commit/acc30061f77852d3f78c35e0a537f93055c8024c,acc30061f77852d3f78c35e0a537f93055c8024c,b55aad64f04867f86286651048577436e4073506,src/extra/widgets/chart/lv_chart.c,CWE401
https://github.com/lvgl/lvgl/commit/4349dfc59324305d7b03083b6df97ff3c800dcf1,4349dfc59324305d7b03083b6df97ff3c800dcf1,e28caac4065e7ddc0e0e002f344f22490d7c6dd1,src/widgets/chart/lv_chart.c,CWE401
https://github.com/lvgl/lvgl/commit/ef697694d293850a6b095410ff551526aafc9c88,ef697694d293850a6b095410ff551526aafc9c88,6927a10d7e1a247c623145c068f87af5bfb9de30,src/core/lv_obj_class.c,CWE401
https://github.com/lvgl/lvgl/commit/6159bad538640e335b96aeaf7228d7fe975d7b4e,6159bad538640e335b96aeaf7228d7fe975d7b4e,e5ab6901661297496955c2e8ca7c4004de19de1d,"src/draw/vg_lite/lv_vg_lite_path.c,src/others/vg_lite_tvg/vg_lite_tvg.cpp",CWE401
https://github.com/lvgl/lvgl/commit/3db226bc8138f231534d4c5546f162c089eec96e,3db226bc8138f231534d4c5546f162c089eec96e,e6dc2f05d239b914617f19e1db019ebb35d83449,demos/vector_graphic/lv_demo_vector_graphic.c,CWE401
https://github.com/lvgl/lvgl/commit/254f537a2b6c87badd9fdd4216769690d2626560,254f537a2b6c87badd9fdd4216769690d2626560,4699f2f55699b9da6913db8aa8891bd6de5c4b0c,src/draw/sw/lv_draw_sw_arc.c,CWE401
https://github.com/lvgl/lvgl/commit/a9960c6216ac001c3c2384bed26c41c3c86c626e,a9960c6216ac001c3c2384bed26c41c3c86c626e,d7aa3baf9a776ab0bd397f013f0bf44d20a13d87,src/draw/lv_draw_vector.c,CWE401
https://github.com/lvgl/lvgl/commit/6c66a491b884fbbca7e5279aa03dfbe87ad57a60,6c66a491b884fbbca7e5279aa03dfbe87ad57a60,b7a20df38f76958f3613f9ccf4b82cfab33f72e0,src/extra/widgets/chart/lv_chart.c,CWE401
https://github.com/lvgl/lvgl/commit/a6ec0a11017968a1b7f403760aecf4514b2bcc42,a6ec0a11017968a1b7f403760aecf4514b2bcc42,668fd1cffa4c838c40ccfe657156dd175c408df3,src/misc/lv_cache_builtin.c,CWE401
https://github.com/lvgl/lvgl/commit/f22a2592689f030508d039c7e5294e442e01cf9e,f22a2592689f030508d039c7e5294e442e01cf9e,d286a9da47a6ca824481b8ca9f96938a45090d8e,src/draw/lv_image_decoder.c,CWE401
https://github.com/lvgl/lvgl/commit/9a9830671f8989af1160b7a384345f9c88fe4992,9a9830671f8989af1160b7a384345f9c88fe4992,29c1d94c60cc5c60a999768eda8c3c1f97129bc8,src/core/lv_obj_style.c,CWE401
https://github.com/lvgl/lvgl/commit/49d533923c086bfd5da9b3433cdc4298e5f07653,49d533923c086bfd5da9b3433cdc4298e5f07653,8774537fdfbe7e641aa18cc817532cdbb39599e1,src/themes/default/lv_theme_default.c,CWE401
https://github.com/lvgl/lvgl/commit/8774537fdfbe7e641aa18cc817532cdbb39599e1,8774537fdfbe7e641aa18cc817532cdbb39599e1,af5b9f9edaa41a62dadb0e349db7ce532163ef31,src/themes/basic/lv_theme_basic.c,CWE401
https://github.com/lvgl/lvgl/commit/af5b9f9edaa41a62dadb0e349db7ce532163ef31,af5b9f9edaa41a62dadb0e349db7ce532163ef31,ddb1025991e2e8564029d822dd0bc3a9ca56d30b,src/themes/mono/lv_theme_mono.c,CWE401
https://github.com/lvgl/lvgl/commit/f86d16bb2d1bfd83ceec10eea08dd9e488988542,f86d16bb2d1bfd83ceec10eea08dd9e488988542,406631bd923aa979d7793bed69cf54da71de116b,demos/widgets/lv_demo_widgets.c,CWE401
https://github.com/lvgl/lvgl/commit/cafc8393a7f18eb77361bb9a413584b44b8db0db,cafc8393a7f18eb77361bb9a413584b44b8db0db,9e252bdff7a8381cad7ad0735170d549eb43b52d,demos/music/lv_demo_music_list.c,CWE401
https://github.com/lvgl/lvgl/commit/5c05a341b94695bb1c177d4ca5ba0d96e4c28a8c,5c05a341b94695bb1c177d4ca5ba0d96e4c28a8c,ef1885f670e7162ce0c4c595bd35316c6a6e24da,src/display/lv_display.c,CWE401
https://github.com/lvgl/lvgl/commit/142c98df8b92540dc57ec3c3409b546a65fa7ed0,142c98df8b92540dc57ec3c3409b546a65fa7ed0,4068c079a241a06bd934e9acacf314d4516fa1fa,src/core/lv_obj_tree.c,CWE401
https://github.com/lvgl/lvgl/commit/1caafc55dde46e1b7e3d17d8c5349fbf7cccba9f,1caafc55dde46e1b7e3d17d8c5349fbf7cccba9f,5ba90a5c41f584a8eb3a4fc8e2f466729652ddb3,src/core/lv_disp.c,CWE401
